Protein IDs,Majority protein IDs,Protein names,Gene names,UPS2/1 ratio,
P00909,P00909,Tryptophan biosynthesis protein TrpCF;Indole-3-glycerol phosphate synthase;N-(5-phospho-ribosyl)anthranilate isomerase,trpC,,
P00904,P00904,Anthranilate synthase component II;Glutamine amidotransferase;Anthranilate phosphoribosyltransferase,trpD,,
P00895,P00895,Anthranilate synthase component 1,trpE,,
P0A881,P0A881,Trp operon repressor,trpR,,
P00954,P00954,Tryptophan--tRNA ligase,trpS,,
P07649,P07649,tRNA pseudouridine synthase A,truA,,
P60340,P60340,tRNA pseudouridine synthase B,truB,,
P0AA41,P0AA41,tRNA pseudouridine synthase C,truC,,
Q57261,Q57261,tRNA pseudouridine synthase D,truD,,
P0AA25,P0AA25,Thioredoxin-1,trxA,,
P0A9P4,P0A9P4,Thioredoxin reductase,trxB,,
P0AGG4,P0AGG4,Thioredoxin-2,trxC,,
P0A6P1,P0A6P1,Elongation factor Ts,tsf,,
P0A927,P0A927,Nucleoside-specific channel-forming protein tsx,tsx,,
P76055,P76055,tRNA 2-thiocytidine biosynthesis protein TtcA,ttcA,,
P0CE48;P0CE47,P0CE48;P0CE47,Elongation factor Tu 2;Elongation factor Tu 1,tufB;tufA,,
P16525,P16525,DNA replication terminus site-binding protein,tus,,
P0A890,P0A890,Sulfurtransferase TusA,tusA,,
P45530,P45530,Protein TusB,tusB,,
P45531,P45531,Protein TusC,tusC,,
P0AB18,P0AB18,Sulfurtransferase TusE,tusE,,
P32132,P32132,GTP-binding protein typA/BipA,typA,,
P07023,P07023,T-protein;Chorismate mutase;Prephenate dehydrogenase,tyrA,,
P04693,P04693,Aromatic-amino-acid aminotransferase,tyrB,,
P07604,P07604,Transcriptional regulatory protein tyrR,tyrR,,
P0AGJ9,P0AGJ9,Tyrosine--tRNA ligase,tyrS,,
P0A6A0,P0A6A0,Probable ubiquinone biosynthesis protein UbiB,ubiB,,
P26602,P26602,Chorismate--pyruvate lyase,ubiC,,
P0AAB4,P0AAB4,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,ubiD,,
P0A887,P0A887,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE,ubiE,,
P75728,P75728,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",ubiF,,
P17993,P17993,3-demethylubiquinone-9 3-methyltransferase,ubiG,,
P25534,P25534,2-octaprenyl-6-methoxyphenol hydroxylase,ubiH,,
P0AG03,P0AG03,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,ubiX,,
P37440,P37440,Oxidoreductase ucpA,ucpA,,
P0A8F4,P0A8F4,Uridine kinase,udk,,
P12758,P12758,Uridine phosphorylase,udp,,
P0AG80,P0AG80,sn-glycerol-3-phosphate-binding periplasmic protein ugpB,ugpB,,
P10907,P10907,sn-glycerol-3-phosphate import ATP-binding protein UgpC,ugpC,,
P10908,P10908,Glycerophosphoryl diester phosphodiesterase,ugpQ,,
P0AGA6,P0AGA6,Transcriptional regulatory protein uhpA,uhpA,,
P05804,P05804,Beta-glucuronidase,uidA,,
P0ACT6,P0ACT6,HTH-type transcriptional regulator UidR,uidR,,
P39304,P39304,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,ulaD,,
P0A9W0,P0A9W0,HTH-type transcriptional regulator UlaR,ulaR,,
P12295,P12295,Uracil-DNA glycosylase,ung,,
P0A8F0,P0A8F0,Uracil phosphoribosyltransferase,upp,,
P60472,P60472,Undecaprenyl pyrophosphate synthase,uppS,,
P08390,P08390,USG-1 protein,usg,,
P07024,P07024,Protein UshA;UDP-sugar hydrolase;5-nucleotidase,ushA,,
P0AED0,P0AED0,Universal stress protein A,uspA,,
P0AAB8,P0AAB8,Universal stress protein D,uspD,,
P0AAC0,P0AAC0,Universal stress protein E,uspE,,
P37903,P37903,Universal stress protein F,uspF,,
P39177,P39177,Universal stress protein G,uspG,,
P43672,P43672,ABC transporter ATP-binding protein uup,uup,,
P0A698,P0A698,UvrABC system protein A,uvrA,,
P0A8F8,P0A8F8,UvrABC system protein B,uvrB,,
P0A8G0,P0A8G0,UvrABC system protein C,uvrC,,
P03018,P03018,DNA helicase II,uvrD,,
P0AED5,P0AED5,Response regulator uvrY,uvrY,,
P42604,P42604,Altronate hydrolase,uxaA,,
P0A6L7,P0A6L7,Altronate oxidoreductase,uxaB,,
P0A8G3,P0A8G3,Uronate isomerase,uxaC,,
P24215,P24215,Mannonate dehydratase,uxuA,,
P39160;P77260,P39160,D-mannonate oxidoreductase,uxuB,,
P39161,P39161,Uxu operon transcriptional regulator,uxuR,,
P07118,P07118,Valine--tRNA ligase,valS,,
P25535,P25535,Protein visC,visC,,
P0AC75,P0AC75,3-deoxy-D-manno-octulosonic-acid transferase,waaA,,
P27242,P27242,"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase",waaU,,
P37749,P37749,"Beta-1,6-galactofuranosyltransferase WbbI",wbbI,,
P37750,P37750,Putative lipopolysaccharide biosynthesis O-acetyl transferase wbbJ,wbbJ,,
P37751,P37751,Putative glycosyltransferase WbbK,wbbK,,
P27828,P27828,UDP-N-acetylglucosamine 2-epimerase,wecB,,
P27829,P27829,UDP-N-acetyl-D-mannosamine dehydrogenase,wecC,,
P56258,P56258,4-alpha-L-fucosyltransferase,wecF,,
P27836,P27836,Probable UDP-N-acetyl-D-mannosaminuronic acid transferase,wecG,,
P0A8G6,P0A8G6,Flavoprotein WrbA,wrbA,,
P76372,P76372,Chain length determinant protein,wzzB,,
P0AG00,P0AG00,Lipopolysaccharide biosynthesis protein wzzE,wzzE,,
Q46800,Q46800,Xanthine dehydrogenase FAD-binding subunit,xdhB,,
P04994,P04994,Exodeoxyribonuclease 7 large subunit,xseA,,
P0A8G9,P0A8G9,Exodeoxyribonuclease 7 small subunit,xseB,,
P09030,P09030,Exodeoxyribonuclease III,xthA,,
P00944,P00944,Xylose isomerase,xylA,,
P09099,P09099,Xylulose kinase,xylB,,
P37387,P37387,D-xylose-binding periplasmic protein,xylF,,
P0ACI3,P0ACI3,Xylose operon regulatory protein,xylR,,
P0A8I3,P0A8I3,UPF0246 protein yaaA,yaaA,,
P30149,P30149,Inner membrane protein yabI,yabI,,
P0A8H8,P0A8H8,DNA gyrase inhibitor YacG,yacG,,
P0A8E5,P0A8E5,UPF0231 protein yacL,yacL,,
P36879,P36879,Uncharacterized ABC transporter ATP-binding protein YadG,yadG,,
P28634,P28634,UPF0066 protein yaeB,yaeB,,
P62768,P62768,UPF0325 protein yaeH,yaeH,,
P0A8K5,P0A8K5,UPF0253 protein yaeP,yaeP,,
P0AA97,P0AA97,Uncharacterized protein yaeQ,yaeQ,,
P30864,P30864,Uncharacterized HTH-type transcriptional regulator YafC,yafC,,
P0A8U2,P0A8U2,UPF0294 protein yafD,yafD,,
Q47147,Q47147,Putative glutamine amidotransferase yafJ,yafJ,,
Q47679,Q47679,UPF0012 hydrolase yafV,yafV,,
P75682,P75682,Probable 2-keto-3-deoxy-galactonate aldolase YagE,yagE,,
P77596,P77596,Uncharacterized protein YagF,yagF,,
P75683,P75683,Uncharacterized symporter yagG,yagG,,
P77713,P77713,Putative beta-xylosidase,yagH,,
P77300,P77300,Uncharacterized HTH-type transcriptional regulator YagI,yagI,,
P0AAA1,P0AAA1,Inner membrane protein yagU,yagU,,
P21514,P21514,Cyclic di-GMP phosphodiesterase yahA,yahA,,
P77554,P77554,Uncharacterized protein yahJ,yahJ,,
P75691,P75691,Uncharacterized zinc-type alcohol dehydrogenase-like protein YahK,yahK,,
P75694,P75694,Uncharacterized protein YahO,yahO,,
P0AAN5,P0AAN5,Uncharacterized protein yaiA,yaiA,,
P0C037,P0C037,UPF0345 protein YaiE,yaiE,,
P0A8D3,P0A8D3,UPF0178 protein yaiI,yaiI,,
P51024,P51024,Uncharacterized protein yaiL,yaiL,,
P77562,P77562,Uncharacterized protein yaiW,yaiW,,
P0ADZ7,P0ADZ7,UPF0092 membrane protein YajC,yajC,,
P0AAQ2,P0AAQ2,Uncharacterized protein yajD,yajD,,
P0ADA5,P0ADA5,Uncharacterized lipoprotein yajG,yajG,,
P46122,P46122,Uncharacterized lipoprotein yajI,yajI,,
Q46948,Q46948,Chaperone protein YajL,yajL,,
P77735,P77735,Uncharacterized oxidoreductase YajO,yajO,,
P0A8E7,P0A8E7,UPF0234 protein yajQ,yajQ,,
P0AAQ6,P0AAQ6,Uncharacterized protein ybaA,ybaA,,
P0A8B5,P0A8B5,UPF0133 protein YbaB,ybaB,,
P0AAR3,P0AAR3,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase ybaK,ybaK,,
P39830,P39830,Inner membrane protein ybaL,ybaL,,
P0ACJ5,P0ACJ5,Uncharacterized HTH-type transcriptional regulator YbaO,ybaO,,
P0AAR8,P0AAR8,Uncharacterized protein ybaV,ybaV,,
P77717,P77717,Uncharacterized lipoprotein ybaY,ybaY,,
P0A9T8,P0A9T8,Uncharacterized ABC transporter ATP-binding protein YbbA,ybbA,,
P0AAS3,P0AAS3,Inner membrane protein ybbJ,ybbJ,,
P77279,P77279,Uncharacterized ABC transporter ATP-binding protein YbbL,ybbL,,
P77307,P77307,UPF0014 inner membrane protein ybbM,ybbM,,
P77395,P77395,Uncharacterized protein ybbN,ybbN,,
P0AFP4,P0AFP4,Uncharacterized oxidoreductase ybbO,ybbO,,
P77504,P77504,Uncharacterized ABC transporter permease ybbP,ybbP,,
P37325,P37325,Uncharacterized protein ybcH,ybcH,,
P0AAS7,P0AAS7,Uncharacterized protein ybcJ,ybcJ,,
P0AAT2,P0AAT2,Uncharacterized protein ybdF,ybdF,,
P77213,P77213,Carboxylate-amine ligase YbdK,ybdK,,
P77316,P77316,Uncharacterized zinc-type alcohol dehydrogenase-like protein YbdR,ybdR,,
P0AAT6,P0AAT6,Uncharacterized protein ybeB,ybeB,,
P0A8J4,P0A8J4,UPF0250 protein ybeD,ybeD,,
P0AAT9,P0AAT9,Uncharacterized protein ybeL,ybeL,,
P0A898,P0A898,Probable rRNA maturation factor YbeY,ybeY,,
P0A9K3,P0A9K3,PhoH-like protein,ybeZ,,
P75736,P75736,Esterase ybfF,ybfF,,
P24252,P24252,Uncharacterized protein ybgA,ybgA,,
P0A8Z3,P0A8Z3,Acyl-CoA thioester hydrolase YbgC,ybgC,,
P45955,P45955,Uncharacterized protein YbgF,ybgF,,
P0AFP6,P0AFP6,UPF0135 protein ybgI,ybgI,,
P0AAV4,P0AAV4,Uncharacterized protein ybgJ,ybgJ,,
P75745,P75745,Uncharacterized protein ybgK,ybgK,,
P75746,P75746,UPF0271 protein YbgL,ybgL,,
P0AAV6,P0AAV6,Uncharacterized protein ybgS,ybgS,,
P21829,P21829,Pyridoxal phosphate phosphatase YbhA,ybhA,,
P12994,P12994,UPF0098 protein ybhB,ybhB,,
P46130,P46130,Putative acyl-CoA thioester hydrolase ybhC,ybhC,,
P0A9U1,P0A9U1,Uncharacterized ABC transporter ATP-binding protein YbhF,ybhF,,
P75777,P75777,UPF0194 membrane protein ybhG,ybhG,,
P75767,P75767,UPF0052 protein ybhK,ybhK,,
P0AAC4,P0AAC4,Inner membrane protein YbhL,ybhL,,
P0AA84,P0AA84,Putative cardiolipin synthase YbhO,ybhO,,
P0AAW1,P0AAW1,Uncharacterized protein ybhP,ybhP,,
P0AFQ2,P0AFQ2,Inner membrane transport permease ybhS,ybhS,,
P30177,P30177,Uncharacterized protein ybiB,ybiB,,
P30178,P30178,Uncharacterized oxidoreductase ybiC,ybiC,,
P0ACU0,P0ACU0,Uncharacterized HTH-type transcriptional regulator YbiH,ybiH,,
P41039,P41039,Uncharacterized protein YbiI,ybiI,,
P0AAX8,P0AAX8,"Probable L,D-transpeptidase YbiS",ybiS,,
P0A9U3,P0A9U3,Uncharacterized ABC transporter ATP-binding protein YbiT,ybiT,,
P75791,P75791,Uncharacterized protein ybiU,ybiU,,
P75792,P75792,Sugar phosphatase YbiV,ybiV,,
P75779,P75779,PKHD-type hydroxylase ybiX,ybiX,,
P75828,P75828,Uncharacterized protein ybjD,ybjD,,
P75809,P75809,Flavine mononucleotide phosphatase YbjI,ybjI,,
P60869,P60869,Putative transport protein YbjL,ybjL,,
P75818,P75818,Uncharacterized lipoprotein ybjP,ybjP,,
P0A8C1,P0A8C1,UPF0145 protein YbjQ,ybjQ,,
P75821,P75821,Uncharacterized protein ybjS,ybjS,,
P75822,P75822,Uncharacterized protein ybjT,ybjT,,
P21367,P21367,Uncharacterized protein ycaC,ycaC,,
P43340,P43340,Uncharacterized NAD(P)H oxidoreductase ycaK,ycaK,,
P75838,P75838,UPF0142 protein ycaO,ycaO,,
P75839,P75839,UPF0702 transmembrane protein ycaP,ycaP,,
P0AAZ7,P0AAZ7,UPF0434 protein YcaR,ycaR,,
P22525,P22525,"Probable L,D-transpeptidase YcbB",ycbB,,
P0AB01,P0AB01,Uncharacterized protein ycbC,ycbC,,
P0AB03,P0AB03,Uncharacterized protein ycbJ,ycbJ,,
P75849,P75849,Uncharacterized protein ycbL,ycbL,,
P75863,P75863,Uncharacterized protein ycbX,ycbX,,
P75867,P75867,Putative Lon protease homolog,ycbZ,,
P0AB12,P0AB12,Inner membrane protein yccF,yccF,,
P0AB14,P0AB14,Uncharacterized protein yccJ,yccJ,,
P75874,P75874,Uncharacterized protein yccU,yccU,,
P0AB65,P0AB65,Acylphosphatase,yccX,,
P75914,P75914,Probable phosphatase YcdX,ycdX,,
P75915,P75915,Chaperone protein YcdY,ycdY,,
P0AB26,P0AB26,Uncharacterized lipoprotein yceB,yceB,,
P0AB28,P0AB28,Uncharacterized protein yceD,yceD,,
P0A729,P0A729,Maf-like protein yceF,yceF,,
P28306,P28306,UPF0755 protein yceG,yceG,,
P29217,P29217,UPF0502 protein YceH,yceH,,
P0A8X2,P0A8X2,Protein yceI,yceI,,
P75931,P75931,Putative oxidoreductase YceM,yceM,,
P27431,P27431,Uncharacterized protein ycfD,ycfD,,
P0AFQ7,P0AFQ7,Uncharacterized deoxyribonuclease YcfH,ycfH,,
P75946,P75946,Uncharacterized protein ycfL,ycfL,,
P0A8E1,P0A8E1,UPF0227 protein ycfP,ycfP,,
P75952,P75952,Uncharacterized HTH-type transcriptional regulator YcfQ,ycfQ,,
P75954,P75954,"Probable L,D-transpeptidase YcfS",ycfS,,
P29013,P29013,Uncharacterized protein ycgB,ycgB,,
P76001,P76001,Uncharacterized protein ycgJ,ycgJ,,
P0AB43,P0AB43,Protein YcgL,ycgL,,
P76004,P76004,Uncharacterized protein ycgM,ycgM,,
P76010,P76010,Flagellar brake protein YcgR,ycgR,,
P37052,P37052,UPF0225 protein ychJ,ychJ,,
P0AFR2,P0AFR2,Putative sulfate transporter ychM,ychM,,
P0AB52,P0AB52,Protein ychN,ychN,,
P0A8Z0,P0A8Z0,Acyl-CoA thioester hydrolase YciA,yciA,,
P21365,P21365,UPF0259 membrane protein YciC,yciC,,
P21363,P21363,Protein yciE,yciE,,
P21362,P21362,Protein yciF,yciF,,
P08245,P08245,Uncharacterized protein yciH,yciH,,
P0AB55,P0AB55,Protein yciI,yciI,,
P31808,P31808,Uncharacterized oxidoreductase yciK,yciK,,
P0AB58,P0AB58,Uncharacterized protein yciM,yciM,,
P0AB61,P0AB61,Protein yciN,yciN,,
P0AFR4,P0AFR4,Uncharacterized protein yciO,yciO,,
P0ACV4,P0ACV4,Inner membrane protein yciS,yciS,,
P76034,P76034,Uncharacterized HTH-type transcriptional regulator YciT,yciT,,
P0A8L7,P0A8L7,UPF0263 protein yciU,yciU,,
P76035,P76035,Uncharacterized protein yciW,yciW,,
A5A614,A5A614,UPF0509 protein yciZ,yciZ,,
P0A8R7,P0A8R7,UPF0283 membrane protein YcjF,ycjF,,
P51981,P51981,L-Ala-D/L-Glu epimerase,ycjG,,
P77615,P77615,Uncharacterized HTH-type transcriptional regulator YcjW,ycjW,,
P76046,P76046,Uncharacterized protein ycjX,ycjX,,
P76049,P76049,Uncharacterized protein ycjY,ycjY,,
P76065,P76065,Uncharacterized protein ydaU,ydaU,,
P25906,P25906,Putative oxidoreductase YdbC,ydbC,,
P52645,P52645,Uncharacterized protein ydbH,ydbH,,
P52647,P52647,Probable pyruvate-flavodoxin oxidoreductase,ydbK,,
P34209,P34209,Protein ydcF,ydcF,,
P0ACW6,P0ACW6,Uncharacterized protein ydcH,ydcH,,
P77171,P77171,Uncharacterized HTH-type transcriptional regulator YdcI,ydcI,,
P76097,P76097,Uncharacterized protein ydcJ,ydcJ,,
P76100,P76100,Uncharacterized acetyltransferase ydcK,ydcK,,
P64451,P64451,Uncharacterized lipoprotein ydcL,ydcL,,
P77730,P77730,Uncharacterized HTH-type transcriptional regulator YdcR,ydcR,,
P76108,P76108,Putative ABC transporter periplasmic-binding protein ydcS,ydcS,,
P77795,P77795,Uncharacterized ABC transporter ATP-binding protein YdcT,ydcT,,
P64455,P64455,Uncharacterized protein ydcY,ydcY,,
P37757,P37757,Uncharacterized isomerase yddE,yddE,,
P76121,P76121,Uncharacterized protein yddH,yddH,,
P31130,P31130,Uncharacterized protein ydeI,ydeI,,
P31131,P31131,Protein YdeJ,ydeJ,,
P39831,P39831,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,ydfG,,
P0ACM2,P0ACM2,Uncharacterized HTH-type transcriptional regulator YdfH,ydfH,,
P64463,P64463,Putative selenoprotein ydfZ,ydfZ,,
P77804,P77804,Protein ydgA,ydgA,,
P76176,P76176,Uncharacterized serine protease ydgD,ydgD,,
P76177,P76177,Protein ydgH,ydgH,,
P77376,P77376,Uncharacterized oxidoreductase YdgJ,ydgJ,,
P0ACR2,P0ACR2,Uncharacterized HTH-type transcriptional regulator YdhB,ydhB,,
P76187,P76187,Oxidoreductase YdhF,ydhF,,
P76185,P76185,Uncharacterized protein ydhJ,ydhJ,,
P77552,P77552,Uncharacterized protein ydhQ,ydhQ,,
P0ACX3,P0ACX3,Putative monooxygenase ydhR,ydhR,,
P77148,P77148,Uncharacterized protein ydhS,ydhS,,
P0ACX5,P0ACX5,Uncharacterized protein ydhZ,ydhZ,,
P77781,P77781,Esterase YdiI,ydiI,,
P77748,P77748,Uncharacterized protein ydiJ,ydiJ,,
P0AFS7,P0AFS7,UPF0118 inner membrane protein ydiK,ydiK,,
P77649,P77649,UPF0061 protein ydiU,ydiU,,
P64479,P64479,Uncharacterized protein ydiZ,ydiZ,,
P0ACY1,P0ACY1,Putative NAD(P)H nitroreductase ydjA,ydjA,,
P77721,P77721,Uncharacterized HTH-type transcriptional regulator YdjF,ydjF,,
P77529,P77529,Uncharacterized symporter ydjN,ydjN,,
P76220,P76220,Uncharacterized protein ydjY,ydjY,,
P39173,P39173,Putative glucose-6-phosphate 1-epimerase,yeaD,,
P76234,P76234,Uncharacterized protein yeaE,yeaE,,
P0ACY3,P0ACY3,Uncharacterized protein yeaG,yeaG,,
P76235,P76235,UPF0229 protein yeaH,yeaH,,
P76237,P76237,Putative diguanylate cyclase YeaJ,yeaJ,,
P64483,P64483,Uncharacterized protein yeaK,yeaK,,
P76243,P76243,Uncharacterized protein yeaO,yeaO,,
P0AA91,P0AA91,Uncharacterized lipoprotein yeaY,yeaY,,
P76256,P76256,Uncharacterized protein YeaZ,yeaZ,,
P0A8A0,P0A8A0,Probable transcriptional regulatory protein YebC,yebC,,
P33218,P33218,Inner membrane protein yebE,yebE,,
P33219,P33219,Protein yebF,yebF,,
P76272,P76272,Uncharacterized protein yebT,yebT,,
P64503,P64503,Uncharacterized protein yebV,yebV,,
P64506,P64506,Uncharacterized protein yebY,yebY,,
P0AD05,P0AD05,Uncharacterized protein yecA,yecA,,
P37774,P37774,Uncharacterized amino-acid ABC transporter ATP-binding protein YecC,yecC,,
P0ADI7,P0ADI7,Isochorismatase family protein yecD,yecD,,
P37348,P37348,UPF0759 protein yecE,yecE,,
P0AD07,P0AD07,Uncharacterized protein yecF,yecF,,
P0AD10,P0AD10,Uncharacterized protein yecJ,yecJ,,
P52007,P52007,Protein yecM,yecM,,
P64515,P64515,Inner membrane protein yecN,yecN,,
P0AFT2,P0AFT2,Inner membrane amino-acid ABC transporter permease protein yecS,yecS,,
P31063,P31063,Uncharacterized lipoprotein yedD,yedD,,
P31064,P31064,UPF0394 inner membrane protein yedE,yedE,,
P0AA31,P0AA31,UPF0033 protein yedF,yedF,,
P46125,P46125,Inner membrane protein yedI,yedI,,
P76318,P76318,Uncharacterized protein yedK,yedK,,
P76329,P76329,Putative mannosyl-3-phosphoglycerate phosphatase,yedP,,
P76330,P76330,Probable diguanylate cyclase YedQ,yedQ,,
P76342,P76342,Sulfoxide reductase catalytic subunit YedY,yedY,,
P33014,P33014,UPF0033 protein yeeD,yeeD,,
P0A8A2,P0A8A2,Probable transcriptional regulatory protein YeeN,yeeN,,
P0A8M6,P0A8M6,UPF0265 protein yeeX,yeeX,,
P0AD12,P0AD12,Protein yeeZ,yeeZ,,
P69346,P69346,Antitoxin YefM,yefM,,
P38097,P38097,Probable diguanylate cyclase YegE,yegE,,
P76389,P76389,UPF0053 protein yegH,yegH,,
P76402,P76402,UPF0339 protein yegP,yegP,,
P76403,P76403,Uncharacterized protease yegQ,yegQ,,
P76406,P76406,Uncharacterized protein yegR,yegR,,
P76407,P76407,Lipid kinase YegS,yegS,,
P76418,P76418,Uncharacterized protein yegU,yegU,,
P0ACM5,P0ACM5,Uncharacterized HTH-type transcriptional regulator YegW,yegW,,
P33355,P33355,Uncharacterized protein yehS,yehS,,
P0AFT5,P0AFT5,Probable transcriptional regulatory protein YehT,yehT,,
P0AD14,P0AD14,Probable sensor-like histidine kinase YehU,yehU,,
P33360,P33360,Putative osmoprotectant uptake system ATP-binding protein YehX,yehX,,
P0ACR4,P0ACR4,Uncharacterized HTH-type transcriptional regulator YeiE,yeiE,,
P33018,P33018,S-formylglutathione hydrolase yeiG,yeiG,,
P0A6N8,P0A6N8,Elongation factor P-like protein,yeiP,,
P33030,P33030,Uncharacterized protein YeiR,yeiR,,
P76445,P76445,Inner membrane protein yeiU,yeiU,,
P33913,P33913,Uncharacterized protein yejA,yejA,,
P33916,P33916,Uncharacterized ABC transporter ATP-binding protein YejF,yejF,,
P0AD21,P0AD21,Uncharacterized protein yejG,yejG,,
P33920,P33920,Nucleoid-associated protein YejK,yejK,,
P0AD27,P0AD27,Inner membrane protein yejM,yejM,,
P77808,P77808,CinA-like protein,yfaY,,
P76483,P76483,Protein yfbM,yfbM,,
P76491,P76491,5-nucleotidase yfbR,yfbR,,
P77625,P77625,Sugar phosphatase YfbT,yfbT,,
P0A8W8,P0A8W8,UPF0304 protein yfbU,yfbU,,
P65556,P65556,Uncharacterized Nudix hydrolase yfcD,yfcD,,
P67095,P67095,Phosphodiesterase yfcE,yfcE,,
P77544,P77544,Uncharacterized GST-like protein yfcF,yfcF,,
P77526,P77526,Probable disulfide bond reductase yfcG,yfcG,,
P77775,P77775,Epimerase family protein yfcH,yfcH,,
P0A8B2,P0A8B2,UPF0115 protein yfcN,yfcN,,
P76501,P76501,Uncharacterized protein yfcR,yfcR,,
P0AD33,P0AD33,UPF0381 protein yfcZ,yfcZ,,
P77293,P77293,Bactoprenol glucosyl transferase homolog from prophage CPS-53,yfdH,,
P76507,P76507,Uncharacterized protein yfdI,yfdI,,
P23842,P23842,Uncharacterized protein YfeA,yfeA,,
P39836,P39836,Uncharacterized protein yfeH,yfeH,,
P77619,P77619,UPF0214 protein yfeW,yfeW,,
P76536,P76536,Probable deferrochelatase/peroxidase YfeX,yfeX,,
P76537,P76537,Uncharacterized protein yfeY,yfeY,,
P24178,P24178,Protein YffB,yffB,,
P66948,P66948,TPR repeat-containing protein yfgC,yfgC,,
P76569,P76569,Uncharacterized protein YfgD,yfgD,,
P64545,P64545,Uncharacterized protein yfgG,yfgG,,
P76573,P76573,Uncharacterized protein yfgI,yfgI,,
P76575,P76575,Uncharacterized protein yfgJ,yfgJ,,
P76576,P76576,UPF0070 protein yfgM,yfgM,,
P0AD44,P0AD44,Uncharacterized protein YfhG,yfhG,,
P37767,P37767,Uncharacterized HTH-type transcriptional regulator YfhH,yfhH,,
P76578,P76578,Uncharacterized lipoprotein yfhM,yfhM,,
P0AGJ5,P0AGJ5,Uncharacterized tRNA/rRNA methyltransferase YfiF,yfiF,,
P33644,P33644,Laccase domain protein yfiH,yfiH,,
P11289,P11289,Uncharacterized protein yfiL,yfiL,,
P76594,P76594,Uncharacterized protein yfiQ,yfiQ,,
P37908,P37908,UPF0053 inner membrane protein yfjD,yfjD,,
P0A6G3,P0A6G3,Protein YgaD,ygaD,,
P0ADQ7,P0ADQ7,Uncharacterized protein ygaM,ygaM,,
P55734,P55734,Inner membrane protein ygaP,ygaP,,
P0ADE6,P0ADE6,Uncharacterized protein ygaU,ygaU,,
P52598,P52598,Uncharacterized HTH-type transcriptional regulator YgbI,ygbI,,
Q46891,Q46891,Protein ygbM,ygbM,,
P38506,P38506,Protein Xni,ygdG,,
P0ADR8,P0ADR8,LOG family protein ygdH,ygdH,,
P65292,P65292,Uncharacterized lipoprotein ygdI,ygdI,,
P0AGF2,P0AGF2,Uncharacterized SufE-like protein YgdK,ygdK,,
Q46927,Q46927,Uncharacterized protein ygdL,ygdL,,
P65294,P65294,Uncharacterized lipoprotein ygdR,ygdR,,
P03813,P03813,Uncharacterized protein YgeA,ygeA,,
Q46798,Q46798,Uncharacterized lipoprotein ygeR,ygeR,,
Q46802,Q46802,Uncharacterized sigma-54-dependent transcriptional regulator ygeV,ygeV,,
Q46803,Q46803,Uncharacterized protein ygeW,ygeW,,
P66899,P66899,Putative diaminopropionate ammonia-lyase,ygeX,,
P65807,P65807,Uncharacterized protein ygeY,ygeY,,
P0A8C4,P0A8C4,UPF0149 protein ygfB,ygfB,,
Q46817;P0AF52,Q46817;P0AF52,Putative permease ygfQ;Putative permease yjcD,ygfQ;yjcD,,
P64559,P64559,UPF0350 protein ygfY,ygfY,,
P0ADE8,P0ADE8,tRNA-modifying protein ygfZ,ygfZ,,
P0ADS6,P0ADS6,Uncharacterized protein yggE,yggE,,
P25894,P25894,Uncharacterized metalloprotease yggG,yggG,,
P38521,P38521,Uncharacterized protein yggL,yggL,,
P0ADS9,P0ADS9,Uncharacterized protein yggN,yggN,,
P67080,P67080,UPF0001 protein yggS,yggS,,
P64564,P64564,Uncharacterized protein yggT,yggT,,
P52060,P52060,UPF0235 protein yggU,yggU,,
P52062,P52062,Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW,yggW,,
P0A8P3,P0A8P3,Probable Fe(2+)-trafficking protein,yggX,,
P0AG84,P0AG84,Uncharacterized oxidoreductase yghA,yghA,,
P0AA60,P0AA60,Inner membrane protein YghB,yghB,,
P0CK95,P0CK95,Putative lipoprotein AcfD homolog,yghJ,,
Q46845,Q46845,Uncharacterized GST-like protein yghU,yghU,,
P0ADT2,P0ADT2,UPF0441 protein ygiB,ygiB,,
P0ADT5,P0ADT5,Uncharacterized protein ygiC,ygiC,,
P30871,P30871,Uncharacterized protein ygiF,ygiF,,
P0ADT8,P0ADT8,Uncharacterized protein ygiM,ygiM,,
P0ADU2,P0ADU2,Probable quinol monooxygenase ygiN,ygiN,,
Q46863,Q46863,Putative binding protein ygiS,ygiS,,
P0ADU5,P0ADU5,Protein ygiW,ygiW,,
P42589,P42589,tRNA-binding protein ygjH,ygjH,,
P42599,P42599,Uncharacterized oxidoreductase YgjR,ygjR,,
P67660,P67660,Uncharacterized HTH-type transcriptional regulator YhaJ,yhaJ,,
P42624,P42624,Pirin-like protein YhaK,yhaK,,
P0A894,P0A894,UPF0042 nucleotide-binding protein YhbJ,yhbJ,,
P45470,P45470,Protein yhbO,yhbO,,
P63417,P63417,Uncharacterized N-acetyltransferase YhbS,yhbS,,
P0ADV5,P0ADV5,Uncharacterized protein yhbW,yhbW,,
